Name,Position,Scouting Report,Race
Nick Bolton,LB,"Very tough with a physical edge.
 Plays with demeanor teams look for in the middle.
 Field-savvy with instincts to diagnose misdirection.
 Identifies and communicates.
 Heavy hands with good pop to take on blocks.
 Pursues ball-carrier with patience and leverage.
 Fluid alterations to his pursuit angles.
 Excellent feel for attack timing downhill.
 Meets runners with violent collisions in the hole.
 Strikes like he's trying to send a message.
 Great awareness and ballhawking as spot dropper.
 Has enough man-cover talent to play on all three downs.
 Thrived on kick- and punt-cover teams early in his career. Average lateral quickness traps him behind climbing blocks.
 Inconsistent to strike and separate from blockers.
 Needs to improve angles to elude box traffic.
 Might need to take a few more chances as a pro.
 Top-end speed appears below average.
 Loses ground when pursuit flows wide.
 Below-average lateral agility as open-field tackler.
 Will have to play quicker to deal with NFL slashers.",NW
Terrace Marshall Jr.,WR,"Expected to be a big-time tester.
 Exciting height, weight, speed combination.
 Averaged over 104.4 yards per game in 2020.
 Playmaker who averaged a touchdown every four catches over last two years.
 Size to bang on undersized corners down the field.
 Strides and separates on go routes.
 Quality ball-tracker with second gear to chase it down.
 Foot quickness is a plus for being a tall wideout.
 Consistently gains ground on coverage on inside routes.
 Has experience outside and as a big slot in LSU offense.
 Very wide catch radius.
 Able to rescue throws way outside his frame.
 Runs with decent toughness after the catch. Appeared to lack focus and intensity in some 2020 games.
 Excellent timed speed but doesn't always play fast.
 Too content in allowing press corners to attack his release.
 Uses same stutter-skip setups into stems and breaks underneath.
 Fails to crank up quality route fakes to tilt cornerbacks off balance.
 Had focus drops in 2020.
 A step slow to get hands catch-ready as slot target.
 Allows coverage to crowd him too often.
 Needs to do a better job of finishing his routes.
 Has almost no special teams experience.",NW
Pete Werner,LB,"Played all three linebacker positions.
 Early arm extension to punch and stay clean inside.
 Separates and searches for the runner.
 Plays quickly off the edge block to make sudden tackles.
 Fluid change of direction in space.
 Agility and hips for smooth lateral transitions.
 Physical striker when he gets them in his sights.
 Can match up in coverage with positive results.
 Attacks blitz blockers with force and some success.
 Versatility to be moved around the field. Long and thin through hips and legs.
 Below-average base to withstand angle blocks.
 Will have trouble constricting run lanes with force.
 Needs to be quicker shadowing lateral run cuts.
 Glued to bigger blockers once they find his frame.
 Needs to find consistent angles and position as tackler.
 Below-average strength to finish.
 Average field flow as spot dropper.",W
Boogie Basham,DE,"Burly build with heft and power in uppers and lowers.
 Efficient hand fighter who's able to play past initial blocks in edge alignment.
 Ability to use tackle's forward momentum against him.
 Fights over top of back-side cutoffs.
 Gets skinny knifing through B-gaps with sudden arm over.
 Punch into full-arm extension is instant.
 Rush hands are extremely active and sufficiently violent.
 Drives under and through redirect blocks at the turn.
 Effective counter spins and can even stack them back-to-back.
 Instinctive rush approach with ability to reset mode of attack.
 Moves quickly for a big and hits with heavy thuds.
 Lays into quarterbacks, causing fumbles during sacks. Rush is devoid of desired suddenness off the edge.
 Heavy, stomping feet on inside counter.
 Lacks lateral quickness/agility for effective twist attacks.
 Tall pad level creates easier punch target on counters.
 Occasionally freelances himself out of position in run game.
 Blocks stay connected to him once they find his frame.
 Tightness hinders change-of-direction movements.
 Gets caught up with blocker and misses ball-carrier dashing by.",NW
Josh Myers,C,"Broad and wide with proportional physique.
 Mass to match with run-stuffing zero-techniques.
 Makes the calls up front.
 Processes moving fronts and adjusts work accordingly.
 Stays active after contact, looking to improve positioning.
 Slides feet/hips around defender to seal run lane.
 Maintains eye contact with climb-up targets on second level.
 Musters quality pop when throwing punch.
 Ankle flexion for adequate anchor versus bull rushers.
 Widens out broad frame to protect A-gaps. Allows defenders' hands into his frame too often.
 Plays too straight-legged into block engagement.
 Feet are more choppy than drive-oriented through contact.
 Average success rate as outside zone blocker.
 Inconsistent use of hands to help capture lateral positioning.
 Needs to maintain better posture in pass sets.
 Hands got washed away by active, well-schooled opponents.
 Will need to punch and reset to prevent rush leakage at his edge.
 Slow reaction time to recover and redirect.",W
Creed Humphrey,C,"Three-year starter and two-year team captain.
 Undeniable team leader and tough individual.
 Wrestling background is evident in core strength.
 Strong hands help maintain base block.
 Looks to work hands into position after losing battle early.
 Swings hips into position to seal the block.
 Fluid footwork for short-pull game.
 Finishes blocks with good intensity.
 Technique to trap and pancake leaning nose.
 Hands in punch were tighter and more accurate at Senior Bowl.
 Helps with cleanup when teammates' protection gets leaky.
 Capable in recovery mode. Very short arms for his size, allowing defenders to get shots into his frame.
 Longer defenders separate and discard him.
 Will give some early ground against strong bull rush.
 Occasional drift against twisting fronts.
 Susceptible against push-pull specialists.
 Snap-to-step lateral quickness is average.
 Doesn't generate noticeable push as a drive blocker at point of attack.
 Gets a little grabby through contact on the move.",W
Kyle Trask,QB,"* Prototypical size to stand tall and fire from the pocket 
* Made substantial production gains across the board in 2020.
* Enabled team to open up game plan in 2020.
* Became the first FBS quarterback in 15 years to post three or more TD passes in nine consecutive games.
* Stepped up against Alabama in SEC Championship Game.
* Able to pump and reset against baiting coverage.
* Feels edge pressure and climbs to free space in pocket.
* Gets back into passing platform when moving outside the pocket.
* Arm strength to whip field-side deep outs with no issues.
* Tardy safeties will find a willing challenger over the top.
* Talented downfield passer with touch and accuracy.
* Can attack one-on-ones and place deep throw where it needs to go.
* Fairly accurate even when feet are not set Pocket setup is slower and labored.
 Footwork gets sloppy and bouncy inside pocket.
 Needs to do better at recalibrating optimal targets post-snap.
 Will miss blitz recognition and basic reads at times.
 Threw into bracketed coverage multiple times against LSU.
 Deliberate release will not tolerate slow reads through progressions.
 Below-average functional mobility to extend the play.
 Unlikely to improvise and beat defense if he's not well-protected.
 Appeared to favor left knee, affecting follow-through.
 Runs targets into traffic and collisions with late-ball delivery.",W
Andre Cisco,SAF,"Possesses pro frame with good overall size and length.
 Soft hands and takes aggressive routes on the throw.
 Finished college career with 13 interceptions.
 Sees and responds to passing game much better as split safety.
 Attacks crossing routes like a heat-seeking missile.
 Quality athlete with good straight-line speed.
 Sees development of run quickly.
 Urgent demeanor to attack the line of scrimmage. Not a ""last line of defense"" type of safety.
 Impatient and will run himself out of position.
 Doesn’t play with proper leverage or come to balance quickly enough as tackler.
 Needs better navigation of pursuit angles.
 Frequently caught up in traffic jams and rub routes.
 Throws body around but doesn’t knock runner backward.
 Below-average route recognition in man coverage.
 Aggressiveness exploited by play fakes.
 Bogs down through transitions and gets beat deep.",NW
Kellen Mond,QB,"Four-year starter with growing confidence.
 Improved game management and ball placement in 2020.
 Touchdown-to-interception ratio jumped from 2:1 to 6:1 in 2020.
 Has become willing pocket passer who trusts his protection.
 Quiet lower body when working through progressions.
 Delivers most throws from balanced platform.
 Alters arm slot to deliver ball around bodies and arms.
 Quick, wrist-flick release generates tight spiral with quality zip.
 Relatively accurate throwing on the move.
 Dangerous zone-read option.
 Able to break the pocket and move the sticks with chunk play scrambles. Deep throws are often flat and overthrown.
 Highly inconsistent in working with anticipation.
 Doesn't consistently make defenses pay for coverage mistakes.
 Shies away from big-play opportunities to take shorter throws.
 Will miss late safety movement indicating incoming blitz.
 Defaults to aiming rather than throwing at times.
 Just average attacking high-low route concepts.
 Inaccuracy and indecisiveness reared ugly heads against LSU.
 Completed just 35 percent of intermediate throws outside the numbers (and 26 percent of deep throws outside numbers) in 2020.",NW
Davis Mills,QB,"Highly regarded recruit who might be coming into his own.
 Prototypical size for a pocket passer.
 Has experience working under center.
 Quality footwork creates rhythm as a play-action passer.
 Arm talent to challenge Cover 2 windows and rifle deep outs.
 Snaps lower half into release, adding to drive velocity.
 Throwing motion is buttery smooth and effortless.
 Ball comes out with some zip on a tight spiral.
 Works with impressive anticipation for an inexperienced quarterback.
 Frequently cuts it loose when target is just getting in or out of break.
 Squares hips and shoulder as rollout passer.
 Releases deep out when receiver is coming out of break.
 Can dodge free runner off the edge and collect himself to find a receiver. Just 11 career starts under his belt.
 Surprisingly low touchdown total relative to attempted passes.
 Below-average pocket climb and mobility.
 Needs to read route combinations and allow them to mature.
 Modest operation time to load and fire.
 Poor ball placement eliminated touchdown opportunities.
 Has a tough time coming off of primary read at times.
 Needs to develop eye discipline to hold safeties.
 Too willing to fling ball into populated coverages.
 Plays with some alarm from pocket when internal clock goes off.
 Below-average escapability from pocket pressure.",W
Jalen Mayfield,OT,"Recognizes pre-snap pressure points.
 Kick slide is smooth and steady with weight generally inside.
 Agile feet and athletic ability to mirror twists and stunts.
 Hustles in recovery scrambles to maintain contact with rusher.
 Able to get out in space and do some damage in screen game.
 Bursts out of stance as run blocker.
 Above-average sense of positioning in run game.
 Accelerates feet through down blocks.
 Reliable climbing to second level from combo block.
 Good block adjustments to sudden movement in space.
 Attitude and demeanor of a finisher.
 Keeps driving opponent when he gets block centered. Highly inexperienced with 15 career starts.
 Upper body lacks desired broadness and strength.
 Average slide quickness versus speed causes some panic.
 Small wind-up in pass punch opens frame up.
 Gets caught on toes and bounced into pocket by power rushers.
 Lacks length and power to redirect rushers when they hit his edge.
 Loses pad level when making lateral blocks.
 Too much forward lean as base blocker.
 Struggles with body control and contact balance at times.
 Needs stickier hands and wider base to improve block sustain.",NW
Joseph Ossai,EDGE,"Uses long arms to his advantage.
 Motor stays revved at all times.
 Rallies hard and fast to the football.
 Has ability to rush passer with a hand down or standing.
 Workable shoulder flip at the top of his rush.
 Lateral trigger quicks are tailor made for tackle-end twists.
 Activity level creates secondary sack opportunities.
 Flashed dangerous slide-and-swim inside move off the snap.
 Violent hitting style causes strip-sacks.
 Improved pad level and leverage at point of attack.
 Upward strike and arm extension when attacking tight ends.
 Starting to feel his potential for quick wins against run blocks.
 Will be around the ball and make plenty of tackles. Consistently slow reaction time off the snap.
 Not very twitched up in his movements.
 Only one full season as an edge defender.
 Allows blockers into his frame in run game.
 Struggles with getting off of sustained blocks.
 Balance and base are all over the place.
 Gets widened out when trying to set a firm edge.
 Hip tightness diminish bend when running the arc.
 Not very threatening as a pure edge speed guy.
 Needs to become quicker and more fluid with rush hands.
 Below average dropping and covering.",NW
Brady Christensen,OT,"Low-cut with big, barrel chest.
 Plays with adequate snap quickness and body control.
 Accelerates into run blocks with good hip snap into defender.
 Good footwork in preparation for climb block.
 Hits his landmarks and drives through the block.
 Choppy, quick slide steps in pass pro.
 Pays attention to maintaining proper base width.
 Powerful upper body to punch and lock out.
 Has strength to slow edge rush with inside hand.
 Finds work and helps his teammates. Short arms for a tackle.
 Not a great bender and is average athlete as a tackle.
 Needs to be first with inside hands more often with his punch.
 Hard time redirecting weight back inside to catch inside counter.
 Occasional waist-bending through mirror needs to be smoothed out.
 Oversteps and gets beat inside.
 Pad level rises high in lateral movements.
 Needs more attention to secure block duties in zone.
 Labors to make reactive change of direction at second level.",W
Aaron Robinson,CB,"Combination of size and speed as a nickel.
 Operates with effective punch when allowed to press.
 Good foot quickness and agility.
 Desired short-area burst on lateral transitions.
 Very aware of traffic on rub routes and crossing routes.
 Good angles to the football in coverage and post-catch.
 Fluidity and feel to trace routes from trail coverage.
 Legit hitter who's able to jar the ball loose on catch attempts.
 Much better tackler in 2020 compared with 2019.
 Steps boldly into the action in run support and looks to make tackles for loss.
 Sense of when to wrap up and when to chop out runner’s legs. Has trouble with overcommitting against release fakes.
 Below-average recognition of route combos.
 Outruns downfield route phase, losing contact on comebacks.
 Could have issues matching with true slot speed.
 Way too many busted coverages.
 Inconsistent working from off-man technique.
 Doesn’t always feel as long as listed height.",NW
Alim McNeill,DT,"Broad through chest and thighs with low center of gravity.
 Three-for-one big man with power, explosiveness and athleticism.
 Operates with desired contact balance and body control.
 Moves fluidly with athletic gait in pursuit.
 Has potential to become more disruptive if allowed to one-gap.
 Strong base to play through the edge and maintain positioning.
 Upper-body turn helps him find the edge.
 Harmonious hands and feet to maneuver around protection.
 Flashes bull-rush potential when playing the angles.
 College rush production is a big plus for him. Effectively neutralized by Clemson in 2019.
 Started fewer than 20 games.
 Strong but sawed-off, with stubby arms.
 Slow diagnosis will get him reached by blocks.
 Unable to quickly shed and rid blocks due to lack of length.
 Occasionally swallowed by size on double teams.
 Limited range to tackle working off of blocks.
 Not much secondary rush when initial attack stalls.
 Needs to find go-to move for quicker wins as rusher.",NW
Milton Williams,DT,"Tapered chest with dense, muscular frame and no bad weight.
 Quick and powerful with above-average leverage.
 Former high school basketball player with capable footwork.
 Lifts with accurate hands and upward thrust into opponent.
 Absorbs contact and keeps eyes into backfield.
 Works with quick-win twitch against single blocks.
 Play strength to displace block and make a play.
 Plants his post leg and battles through the double-team.
 Core strength fuels his balance and keeps him on his feet.
 Hand slap to cave the edge and find pathway to the pocket.
 Quality secondary rush effort. Might be caught between positions.
 Lack of length and mass could be a concern.
 Average first-step quickness up the field.
 Effort expended versus big blockers delays his tackle readiness.
 Needs to keep his feet near the ground to keep from getting bounced.
 Reach blocks often find him.
 Too far off the track when rush is widened out.
 Needs to develop a go-to move.",NW
Benjamin St-Juste,CB,"Elite size and length for the outside.
 Has potential for great physical challenges from press.
 Experienced in a variety of coverage schemes.
 Quick to close and tackle on first- and second-level catches.
 Forceful closing through the catch point.
 Tilts jump-ball odds in his favor with physical traits.
 Length played major role in swatting passes in 2019.
 Makes tackles on a consistent basis.
 Centers up, runs and wraps through his target.
 Plays off blocks and seals the edge. Will get turned around by average route-runners.
 Declares and opens hips too early in press.
 Grabby in coverage when he gets behind.
 Route recognition and reading quarterback are a work in progress.
 False steps at the top of his drop from off-man.
 Narrow base in space creates bumpy transitions to shadow route breaks.
 Needs to keep pads under his feet when changing direction.
 Very average burst to the football.
 Needs to find the ball sooner when face-guarding.
 Undisciplined at times when supporting run near the line.",NW
Osa Odighizuwa,DT,"Experience playing every position along the defensive line.
 Plays with disruptive energy and consistent forward movement.
 Bursts out of stance and is usually into blocker first.
 Shoots lifting hands into blocker's shoulders for early leverage.
 Keeps eyes planted on ball-carrier throughout block engagement.
 Hands are smooth, accurate and effective at winning battles.
 Always hunting for gaps and edges.
 Non-stop effort and will keep working until he leaks through.
 Plays with excellent pad level with ability to dip under redirection.
 Bends and corners directly toward the quarterback. Body type feels like it is caught between positions.
 Isn't going to push NFL offensive linemen around.
 Urgent pass rush lacks focus and control.
 Gets ahead of himself and rarely sets up his counters.
 Will end up on the ground too often.
 Knocked around while doing battle at point of attack.
 Not able to rid himself of blocks very quickly.",NW
Paulson Adebo,CB,"Tall, angular body type with intimidating length.
 Size and strength to beat up the press release.
 Short-area footwork to phase up on comeback routes.
 Plays with leverage to limit options for receivers.
 Flashes second-gear burst to close out throws on all three levels.
 Recognizes route timing like a receiver.
 Loves to crowd and clog the breakpoint underneath.
 Posted eight interceptions and 30 other passes defended over just 22 games.
 Timing at the catch point is top notch.
 Active, attacking hands ruin catch chances.
 Plays ball over man and plucks it away from his frame with soft hands.
 Ability to recover downfield can be impressive. Saw game action in just two seasons.
 Movement can be upright and segmented in space.
 Has some minor stall when trying to drive forward from top of his drop.
 Narrow hips in transition gives away some ground to wideouts.
 Doesn't have desired stop-start acceleration.
 Had a rough day against double moves by UCF's Gabriel Davis in 2019.
 Fails to play with consistent route phase and positioning at times.
 Body control and balance get away from him at times.
 Gives offenses too many big-play opportunities.
 Flies in at full speed, causing whiffs as tackler.
 Needs to retool and reschool for run-support duties.",NW
Josh Palmer,WR,"Nearly 70 percent of his catches went for a first down.
 Uses pad and hip sink for quicker breaks.
 Will give what he gets against physical corners inside route.
 Comes out of turns with tight angles.
 Partitions defender away from the catch point.
 Catches the point of the football with adequate hand extension.
 Works to maintain field leverage for bucket throws to the boundary.
 Has ball-tracking and body control of an NFL wideout.
 Graceful and fluid in mid-air.
 Settles into favorable angles for his quarterback versus zone.
 Built and skilled for contested catches.
 Beat up UGA cornerbacks for 27- and 36-yard touchdowns over the top. Production doesn't always match the tape.
 Never hit 500 receiving yards or five touchdowns in a single season.
 Only one career game with 100-plus yards receiving.
 A little slow firing up the field off the snap.
 Will wear press coverage for the first five yards.
 Burst out of breaks doesn't create much separation.
 Pro cornerbacks will be able to stay in phase with deep routes.
 Slow finding run-after-catch acceleration.",NW
Chazz Surratt,LB,"Good combination of speed and athleticism from second level.
 Above-average lateral burst to bound with play flow.
 Tackle-stacker averaging nearly 10 per game over two seasons.
 Wowed with his toughness to switch from quarterback to linebacker.
 Willing to dive down inside the hole and bang with lead blocks.
 Even when instincts fail him, grit and his engine can bail him out.
 Finds his way to the football even after an early block.
 Instant pursuit trigger to capture and tackle to the perimeter.
 Absolutely no hesitation to run right through his tackle targets.
 Drives full body into ball-carrier and wraps up.
 Able to close distance quickly in coverage. Below-average size and strength.
 Might have to work overtime to keep his weight up.
 Durability concerns due to hard-charging playing style.
 Struggles to fight back against wash-down blocks.
 Doesn't have fully formed linebacker instincts.
 Still learning angles of attack against blocking schemes.
 Struggles diagnosing mesh-point and following where ball is headed.
 Can squeeze coverage a little tighter from zone.
 Gets charged up and overflows the action.",NW
Malcolm Koonce,EDGE,"Long-limbed with quick twitch.
 Fluid and flexible in his movements.
 Ramped up his production over the last two seasons.
 Early arm extension to meet block and keep frame clean.
 Aggressive shed technique to unglue and tackle.
 Explosive closing burst nabs runners and quarterbacks from back-side pursuit.
 Decent strength at point of attack against tight ends.
 Varies his rush tempo.
 Basketball feet help him dart around the edges.
 Able to dip and run the edge.
 Leverages long-arm bull rush to push tackles back into pocket. Needs to set firmer edges with improved lower body strength.
 Tackles can bounce and widen him off the edge.
 Below-average results against Charlotte in 2019 bowl game.
 Needs stronger hand chop to alleviate tackle's hand control when he rushes.
 Issues maintaining base/balance when redirected around the edge.
 Spin counter is awkward and ineffective.
 Same basic rush approach with limited skill level in his hands.
 Very little coverage or special teams background.
 Average strength as a tackler.",NW
Divine Deablo,SAF,"Punches and separates from tight ends at the line scrimmage.
 Frame to play down safety or Will linebacker.
 Fits up into gaps and clouds the running lane.
 Makes himself wide as tackler with a spider-web radius.
 Matches tight end release with good lateral footwork.
 Size to body and crowd seam-running tight ends.
 Good awareness of route development from the post.
 Locks in on primary target if quarterback gets lazy with his eyes.
 Quick to recognize downfield throw and peel off his coverage.
 Can come into the league as a core special-teamer. Aggressive response to play-action is an issue.
 Not very instinctive in sniffing out the play design.
 Coverage can be frenetic in man to man.
 Feet stuck in neutral when forced into stop-start.
 Change-of-direction fluidity is very average.
 Delays in his transitions laterally and downhill.
 Timing to open and run with the route needs improvement.
 Needs better take-on technique as box defender.
 Will out-run tackle positioning rather than coming to balance.",NW
Hunter Long,TE,"Picks up his play speed as route progresses.
 Able to attack the seam and potentially all three levels.
 Uses hand fighting to clear handsy coverage at top of the route.
 Made first downs on 60 percent of his catches in 2020.
 Gains some separation out of his turns.
 Scrambles open for his quarterback.
 Hands are soft and natural for the routine catch.
 Hyper-focuses when the ball is headed his way.
 Able to bring in throws well outside his frame with sticky hands.
 Could be an issue to cover for some linebackers. Play strength and aggressiveness end up in minus column.
 Allows press to beat and ride him early on.
 Will race through routes rather than selling his breaks at times.
 Needs to be more competitive in claiming his catch space.
 Inconsistent finishing contested catches.
 Not tough enough to handle heavy lifting as blocker.
 Blocks with folded arms like a player from the old electric football game.
 Let the running game down in matchup against Clemson.",W
Dyami Brown,WR,"Took on the role of home-run threat for the Tar Heel offense.
 Averaged 20-plus yards per catch over last 100 grabs.
 Had eight touchdowns of 40-plus yards during career and scored every 5.3 catches since 2019.
 Builds up and into vertical separation downfield.
 Stem acceleration on posts created by subtle juke to loosen coverage.
 Maintains positioning once cornerback is stacked.
 Over-the-shoulder tracking talent with consistent focus.
 Creates decent leverage for landing areas on deep balls.
 Long body with long reach.
 Battles for jump-ball positioning.
 Shaved slants tighter.
 Speed opens up comebacks and deep digs. Doesn't have short-area agility to uncover.
 Labored footwork in and out of breaks underneath.
 Might need to work a limited set of routes.
 Needs to create more vertical push off the snap.
 Doesn't allow some routes to fully mature and manipulate coverage.
 Several touchdowns scored off very basic double moves.
 Below-average hand strength with disturbing drop rate.
 Allows ball to beat him up.
 Below-average strength to sustain blocks.",NW
Tommy Tremble,TE,"Feisty play demeanor suits his love of contact.
 Activated as blocker from a variety of formations.
 Uses athletic talent to gain positioning after initial strike.
 Accelerates and crashes into targets as lead blocker.
 Smooth block-to-block transition to open the edge for outside run.
 Blocking talent opens up play-action opportunities.
 Athletic ability and speed stand out as pass catcher.
 Bursts off the snap and races into route.
 Basketball movement for easy route adjustments in traffic.
 Can separate on second- and third-level routes.
 Vast improvement from 2019 with contested catches.
 Talent and athleticism for some pass protection asks. Just 35 career catches for 401 yards.
 Gives away short routes with altered initial speed.
 Needs quicker sink and open versus short zone.
 Double catches and drops are a concern.
 Had more drops than touchdowns at Notre Dame.
 Still learning to fit up block with proper platform and pad level.
 Needs quiet, efficient hands at the point of attack.",NW
Chauncey Golston,DE,"Named to 2020 Iowa Leadership Group.
 Added 40 pounds of good weight during his time at Iowa.
 Long wingspan with enormous hands.
 Has opportunity to elevate his play with quicker hands.
 Shows ability to turn and skinny-up into the B-gap.
 Uses stab-and-slap move around the edge.
 Jump-cuts into inside counter.
 Shows some life as reduced rusher.
 Can slap and pull himself around the guard with his length. Below-average power and play strength.
 Needs to play with better knee bend at point of attack.
 Struggles to anchor his edge.
 Consistently bounced off his spot by kick-out blocks.
 Below-average pop into contact.
 Feet are heavy in his change of direction.
 Pursuit speed is nothing special.
 Doesn't generate enough rush power from lower half.
 Firm punch can end his attempts at an edge rush.",NW
Amari Rodgers,WR,"Very strong, with compact body type.
 Came back from ACL tear in 166 days, exemplifying work ethic.
 Sets up cornerbacks with clever alterations of route speed.
 Can get to top speed very quickly.
 Plus ball-tracking and focus to catch the 50-50 ball.
 Second gear to chase down the deep ball.
 Natural footwork in adjusting to off-target tosses.
 Stabs it out of air with sudden hands.
 Able to slip or break first tackle after catch.
 Pull-away speed in the open field.
 Capable of handling punt return duties.
 Competitive nature is above average. Needs to prove he can deal with NFL press.
 Inconsistent early vertical push off the snap.
 Has a tendency to rush through route fakes.
 Average foot agility getting in and out of breaks.
 Shorter arms with some tightness in upper body.
 Loss of catch concentration at times in 2018 and 2020.
 Needs to keep working to find softest spots in zone for quarterback.",NW
Wyatt Davis,G,"Loves the physicality of the position.
 Pops defensive tackles with stiff inside hand.
 Very powerful lower body.
 Unrolls his hips into angle blocks, creating drive momentum.
 Strains and can overtake one-on-one blocks in test of strength.
 Slides feet and hips into secure position post-contact.
 Clamps in and contains the man across from him on base blocks.
 Looks to finish blocks with bad intentions.
 Consistent inside hands in pass protection.
 Low-man approach keeps him leveraged through the rep.
 Has flexibility to sink and anchor against bull rush.
 Quick punch and recover when passing off twists. Smaller frame than desired for an NFL guard.
 Body control is very average.
 Average feet to make block adjustments on moving bodies.
 Lethargic moving from first to second block on combos.
 Will default into maul mode rather than trusting technique.
 Prematurely wanders away from home base at times in pass pro.
 Lack of short-area quickness to close down gaps against blitzers.
 Unable to access length for recovery redirection.",NW
Kendrick Green,G,"Offers guard and center starting experience.
 Off the ball in a hurry, gaining lateral ground with ease.
 Impressive ability to reach and wall-off from a gap away.
 Accelerates through contact, creating wash-down momentum.
 Pushes down-block out of the gap.
 Short-area quickness allows for tighter schedule on combos.
 Play-switch energy and fire from snap to whistle.
 Above-average getting into space on screen blocks.
 Resets his hands in order to gather pass rusher in front of him.
 Reactive athleticism to make sudden cut-offs in pass pro. Too straight-legged up to second level.
 Inaccurate radar landing on pull and climb targets.
 Unable to neutralize power when heads up.
 Defenders are able to separate and play off his blocks.
 Shorter arms make block sustain a challenge.
 Struggled to dissect gaming fronts in 2019.
 Gets glued to twist action and misses incoming rusher.
 Overextends, allowing edge to soften.",NW
Trey Sermon,RB,"Possesses NFL frame with good size and build.
 Tape at Oklahoma is more indicative of his game-in, game-out potential.
 Adequate bend and cut when he's on the move.
 Good acceleration after change of direction.
 Strides with power and drive once he opens it up.
 Finishes runs with forceful demeanor.
 Has ability to put moves together as outside zone runner.
 Capable pass catcher with ability to hit chunk plays out of backfield.
 Run after catch was impressive and effective in 2018 and 2020.
 Squares up and meets his pass-blocking duties.
 Stepped up with huge efforts when it was most needed for Buckeyes. Most consistent in-season tape was back in 2018.
 Tends to run too upright.
 Slow to process moving pieces in tight quarters.
 Indecisive and didn't crank up as much aggression into contact.
 Lacks vision and burst to make a living between the tackles.
 Uncreative runner for much of his time in an Ohio State jersey.",NW
Nico Collins,WR,"Possesses quality speed for such a big target.
 Vertical build-up helped him average nearly 20 yards per catch in 2019.
 Aggressive hand-fighter from the time the ball is snapped.
 Powerful drive strides into his routes.
 Above-average stacking and tracking on deep throws.
 Highly competitive with winning, jump-ball traits.
 Intuitive late-separation talent.
 Size and body control to widen the catch space.
 Unfazed by physical contact through the catch.
 Catches what is thrown his way with soft, natural hands.
 Consistently plucks the rock away from his frame.
 Flashes impressive technique and strength as a run blocker. Can be a little gradual getting into press release.
 Unable to elude and rid himself of a press defender consistently.
 Needs work setting up route breaks.
 Opponents appear to recognize his intention at the top of the route.
 Turns are too rounded, allowing a pathway for cornerbacks.
 Forced to wear coverage from start to finish on intermediate routes.
 Lacks quickness and route acumen to open desirable windows.
 Will need to prove he can work all three levels.",NW
Patrick Jones II,EDGE,"Respected team captain.
 Impressive two-year run with 25 tackles for loss and 17.5 sacks.
 Looked leaner and faster beginning in 2019.
 Size and length NFL teams are looking for on the edge.
 Able to slip blocks and find plays in the backfield.
 Maintains discipline on zone-read assignments.
 Gets off the ball with decent upfield burst.
 Works for early shoulder turn at the top of the rush.
 Good footwork when working his spin counter.
 Very agile tackler in space. Needs to play with consistent urgency and motor.
 Has tendency to lay on blocks if play isn't coming his way.
 Needs quicker diagnosis of blocker movement off snap.
 Gets outside shoulder covered and loses contain duties at times.
 Pads too easily turned by blockers at point of attack.
 Doesn't win with his hands enough in run or pass.
 Below-average speed-to-power conversion.
 Lacks suddenness and fluidity in twist game.",NW
Anthony Schwartz,WR,"World class sprinter with game-changing speed.
 Requires additional coverage attention when he's on the field.
 Useful weapon or decoy with jet sweeps or ghost motion.
 Blows right by confident man coverage in getting deep.
 Threat of long speed creates easy throw and catch underneath.
 Able to change route direction while maintaining scary speed.
 Bursts free to separate from route stems.
 Open-field vision and wiggle to put it in the paint after the catch.
 Full-time gunner potential if he can improve as a tackler. Just six of his 117 total catches went for touchdowns.
 Routes are unfocused and often ineffective underneath.
 More quick-game gadget guy than true receiver at this time.
 Disappointing effort in scramble mode.
 Consistent issues tracking and adjusting to the long ball.
 Instincts as a pass catcher are below par.
 Needs to become catch-ready more quickly.
 Focus and hand strength have been consistent issues.",NW
Monty Rice,LB,"Instinctive with good feel for play direction.
 Anticipates the runner's cuts and lane choices.
 Rarely overcommits into unnecessary traffic.
 Possesses short-area burst.
 Above-average feel for angles in defeating climbing blocks.
 Early diagnosis of play-action and counters.
 Highly effective navigating second-level bodies in pursuit.
 Consistently communicating with teammates pre-snap.
 Willing to play through pain.
 Rarely allows play-side shoulder to be captured. Not a big chance-taker, leading to lower number of TFLs.
 Looked more upright and tight in his 2020 tape than he did in 2019.
 Not very twitchy or explosive between the tackles.
 Foot injury that slowed him in 2020 will need to be examined.
 Very average speed for one-on-one coverage.
 Lacked much ball production.
 Tight hips limit stop-start balance as open-field tackler.",NW
